,Fecha,Texto
38,2022-06-01T23:08:06.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
39,2022-06-01T23:06:17.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
40,2022-06-01T23:02:17.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
41,2022-06-01T23:01:31.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
42,2022-06-01T22:58:54.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
43,2022-06-01T22:53:55.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
44,2022-06-01T22:53:29.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
45,2022-06-01T22:46:11.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
46,2022-06-01T22:45:29.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
47,2022-06-01T22:43:59.000Z,"RT @TalgoGroup: Construyendo futuros alternativos, paso a paso: así es como @TalgoGroup y @Repsol estamos desarrollando el primer tren dual…"
48,2022-06-01T22:41:33.000Z,@ALFONSO57820023 @Repsol
49,2022-06-01T22:40:06.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
50,2022-06-01T22:37:51.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
51,2022-06-01T22:34:57.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
52,2022-06-01T22:34:50.000Z,"RT @Iberia: Hoy es un día histórico. Estrenamos nuevos uniformes, inauguramos nuevas rutas, Washington y Dallas, y reiniciamos los vuelos c…"
53,2022-06-01T22:34:47.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
54,2022-06-01T22:32:41.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
55,2022-06-01T22:32:06.000Z,@trufita1969 @Iberia @Repsol Dejen de responder mensajes y resuelvan los problemas
56,2022-06-01T22:31:49.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
57,2022-06-01T22:31:26.000Z,@isravalenzuela @Iberia @Repsol Es cuestión de tiempo que te fastidien. Luego no te quejes
58,2022-06-01T22:28:49.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
59,2022-06-01T22:27:09.000Z,"@Iberia @Repsol Hola! Necesito poner una queja, y bien gorda, donde la puedo poner, gracias."
60,2022-06-01T22:26:11.000Z,@martinhidalgo @Repsol Deberían botarla del Perú.
61,2022-06-01T22:25:21.000Z,"@WaykaPeru @Repsol @repsol_peru La cosa es,,,pagaran?"
62,2022-06-01T22:25:13.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
63,2022-06-01T22:24:55.000Z,@WaykaPeru @Repsol 1/2 millón de SOLES es una vergüenza de multa para uno de los incumplimientos de esta empresa contaminadora. Es como gastarse en un chicle. Se requiere mayor FIRMEZA de las instituciones rectoras en materia de protección ambiental.
